Title,Price (PKR),Beds,Baths,Area (Marla),Price Per Marla,Area,Block,Phase,Sector,Predicted Price (PKR)
Apartment On Flexible Payment Plan,11100000.000000002,2.0,2.0,5.3,2094339.6226415096,GT Road,,,,16126308.578921076
Beautifu House Available For Sale In F-7,420000000.0,9.0,,32.0,13125000.0,,,,F-7,422946703.2967033
Beautiful House Of A Prime Location Available For Sale In F6/3,800000000.0,9.0,,40.0,20000000.0,F-6,,,F-6/2,489266666.6666667
Top Designer 1 Kanal 5 Bedroom Modern Villa For Sale,139500000.0,5.0,5.0,20.0,6975000.0,DHA Defence Phase 2,,,,107759646.38868466
Beautiful Brand New Double Storey House For Sale,23500000.0,4.0,5.0,5.0,4700000.0,Pakistan Town,,"Phase 2, Pakistan Town",,25112084.013209015
DHA PHASE 2 Sector G INVESTOR RATE 1 KANAL HOUSE DOUBLE UNIT NEAR GIGA MALL,110000000.0,6.0,6.0,20.0,5500000.0,DHA Phase 2,,"Sector G, DHA Defence Phase 2",,108202366.4152005
Prime Location 8 Marla House For Sale In The Perfect Location Of Soan Garden,30000000.0,4.0,4.0,8.0,3750000.0,Soan Garden,,,,30416722.222222228
Prime Location 7 Marla House For Sale In Soan Garden Soan Garden,29000000.0,4.0,4.0,7.0,4142857.142857143,Soan Garden,,,,31037777.777777772
Ideally Located Flat Of 2019 Square Feet Is Available For Sale In Islamabad,100000000.0,2.0,2.0,9.0,11111111.111111112,F-8,,,F-8,98283638.88888888
Two Bed Apartment In Luxus Mall And Residency Is Available For Sale,18000000.0,2.0,2.0,4.5,4000000.0,"Luxus Mall and Residency, Gulberg Greens",Block B,,,14797277.77777778
House For Sale,38000000.0,5.0,5.0,6.0,6333333.333333333,,,,I-10,38366904.761904754
House For Sale,39000000.0,5.0,4.0,6.0,6500000.0,,,,I-10,39163182.53968253
House For Sale,43000000.0,7.0,6.0,5.0,8600000.0,,,,I-10,37004744.44444444
"Charming 5 Marla Designer Home With Mountain Views, Prime Location In B17/FMC Society",35000000.0,5.0,5.0,5.0,7000000.0,,,,B-17,27152271.164021168
BRAND NEW HOUSE FOR SALE,36000000.0,6.0,6.0,7.0,5142857.142857143,I-14,,,I-14/1,36013333.333333336
Designer House For Sale,60000000.0,6.0,6.0,10.1,5940594.059405941,,,,B-17,58604793.65079365
Designer House For Sale,68000000.0,6.0,6.0,14.0,4857142.857142857,MPCHS,"Block B, MPCHS",,,69627000.0
Designer House for Sale,57500000.0,5.0,5.0,10.0,5750000.0,MPCHS,"Block C1, MPCHS",,,53981887.655400164
Three Bed Flat For Sale,20000000.0,3.0,3.0,6.7,2985074.6268656715,E-11,,,E-11/4,21905577.777777776
Two bed furnished flat for sale,12500000.0,2.0,2.0,4.4,2840909.090909091,,,,E-11,12160928.571428575
House For Sale,38000000.0,5.0,4.0,6.0,6333333.333333333,,,,I-10,39163182.53968253
House For Sale,49000000.0,7.0,7.0,6.0,8166666.666666667,,,,I-10,42455611.11111111
House For Sale In Islamabad Valley British Homes I-13 Islamabad ( I J P )Road,38000000.0,6.0,6.0,10.0,3800000.0,I-13,,,I-13,47226749.99999999
Luxurious 7-Bedroom House For Sale On Prime Location,450000000.0,7.0,6.0,50.0,9000000.0,,,,F-7,504400000.0
Specious 666 Sq Yard 60x100 House For Sale In F-7 Prime Location,290000000.0,6.0,6.0,26.0,11153846.153846154,,,,F-7,408417858.9003589
Luxurious 6 Bedroom House For Sale In Prime Location,450000000.0,6.0,6.0,40.0,11250000.0,,,,F-7,453723809.5238095
Investor Price House Available For Sale F7,800000000.0,10.0,,80.0,10000000.0,F-7,,,F-7/3,791966666.6666666
L Blook 7 Marla Double Storey Brand New House,38000000.0,4.0,5.0,7.0,5428571.428571428,Gulberg Residencia,"Block L, Gulberg Residencia",,,36978666.666666664
Brand New Five Marla House Available for Sale in Bahria Enclave Islamabad,28500000.0,3.0,5.0,5.0,5700000.0,Bahria Enclave,,,,23925924.604310095
5 Marla Brand New Double Story House Available For Sale In Executive Block Faisal Hills Islamabad,19800000.0,4.0,4.0,5.0,3960000.0,Faisal Hills,"Executive Block, Faisal Hills",,,22352012.82051282
8 Marla Brand New House Available For Sale in Faisal Town phase 1 of Block A islamabad pakistan,36000000.0,5.0,6.0,8.0,4500000.0,Faisal Town Phase 1,"Block A, Faisal Town Phase 1",,,36639833.333333336
Highly-coveted Prime Location 1 Kanal House Is Available In Soan Garden - Block F For sale,72500000.0,6.0,6.0,20.0,3625000.0,Soan Garden,"Block F, Soan Garden",,,75820198.44331338
G-11/4 PHA 2 Bed Apartment Sized 700 Square Feet Is Available For sale,15500000.0,2.0,2.0,3.1,5000000.0,G-11,,,G-11/4,6583765.941798942
2 Bed Apartment Is Available For Sale In DHA Defence Phase 2,13000000.0,2.0,2.0,4.2,3095238.095238095,El Cielo,,,,9779790.0
2-Bed Apartment for Sale in Skypark One,35000000.0,2.0,2.0,7.7,4545454.545454545,Skypark One,,,,39832166.666666664
2-Bed 1075 Sq. ft curved layout Apartment For Sale In Zarkon Heights Islamabad,15000000.0,2.0,2.0,4.8,3125000.0,G-15,,,G-15,14652111.111111106
4 Marla (25x40) New House For Sale G-13/4 Islamabad,39000000.0,4.0,5.0,4.0,9750000.0,G-13,,,G-13/4,34196721.4082214
14 Marla (40x80) Royal House For Sale In G-13 Isalamabad,110000000.0,7.0,7.0,14.0,7857142.857142857,,,,G-13,117111388.88888888
5 Marla (25x50) Royal Design House For Sale G-14/4 Islamabad,49500000.0,5.0,5.0,5.0,9900000.0,G-14,,,G-14/4,44621027.777777776
"BRAND NEW HOUSE FOR SALE IN G,1/4",65000000.0,5.0,5.0,10.9,5963302.752293577,,,,G-14,58399611.111111104
House For Sale Situated In F-7,320000000.0,10.0,10.0,26.0,12307692.307692308,,,,F-7,491024772.07977206
Brand New House For Sale In F7,380000000.0,8.0,9.0,40.0,9500000.0,,,,F-7,417823809.5238095
Beautiful House With Garden,240000000.0,6.0,6.0,26.0,9230769.23076923,,,,F-8,278151349.2063493
Pearl Signature Villas In Park View City Islamabad Pre-Launch Rates,135000000.0,6.0,7.0,26.0,5192307.692307692,Park View,"Block J, Park View City",,,204541666.66666666
Margalla Face 1400 Square Feet 2bed Unfurnished Apartment Available For Sale In Capital Residencia E11 Islamabad,18500000.0,2.0,2.0,6.2,2983870.9677419355,Capital Residencia,,,,18492561.904761903
BRAND NEW HOUSE FOR SALE,41000000.0,6.0,6.0,10.0,4100000.0,Faisal Town Phase 1,"Block C, Faisal Town Phase 1",,,46522766.060985796
Corner & ; Boulevard Grey Structure Are Available For Sale.,42500000.0,4.0,5.0,12.0,3541666.6666666665,Bahria Enclave,,,,45701194.444444455
Prime Location House For Sale,225000000.0,5.0,5.0,20.0,11250000.0,,,,F-8,227707460.3174603
"Luxurious Mansion For Sale In F-8 Sector - Prime Location, Exclusive Features",650000000.0,8.0,6.0,80.0,8125000.0,,,,F-8,697400000.0
Magnificent 10-Bed Residence In Prime F-8 Location - CDA Transfer,300000000.0,10.0,,40.0,7500000.0,,,,F-8,512766666.6666667
House For Sale With Extra Land,260000000.0,6.0,6.0,26.0,10000000.0,,,,F-8,278151349.2063493
Prime Location House For Sale,180000000.0,5.0,5.0,20.0,9000000.0,,,,F-10,167071111.11111113
Prime Location Golden Opportunity!,23000000.0,3.0,4.0,5.5,4181818.1818181816,MPCHS,"Block F, MPCHS",,,21730759.781123005
Lush Luxury House Is Available For Sale In B-17,90000000.0,6.0,6.0,20.0,4500000.0,MPCHS,,,B-17,100618389.36844648
Furnished Studio Apartment For Sale At Gulberg Heights Islamabad,7200000.0,,1.0,2.4,3000000.0,Gulberg Heights,,,,8019918.222222222
G-13 40x80 Brand new double story Luxury House,105000000.0,6.0,6.0,14.0,7500000.0,,,,G-13,109850138.8888889
10 Marla Brand New House For Sale,32500000.0,6.0,6.0,10.0,3250000.0,E-16,,,E-16/3,45999638.88888887
Elan Square Two Bed Apartment Is Available For Sale In New Blue Area,67200000.0,2.0,2.0,7.1,9464788.732394367,New Blue Area,,,,62166478.306878306
Flat Of 2019 Square Feet Is Available For sale,100000000.0,2.0,2.0,9.0,11111111.111111112,F-8,,,F-8,98283638.88888888
12 Marla (Marla Size 272) Investor Rate Double Storey House For Sale Shahpur Bhara Kahu Islamabad,31000000.0,6.0,6.0,12.0,2583333.333333333,Bhara kahu,,,,71851583.33333331
3250 Square Feet 3 Bedroom Flat Available For Sale In F11 Islamabad,41000000.0,3.0,3.0,14.4,2847222.222222222,,,,F-11,47222000.0
One (1) Bed Flat (Apartment) Available For Sale In Gulberg Green Islamabad Pakistan,7000000.0,1.0,1.0,2.7,2592592.5925925924,Gulberg Greens,,,,9943752.738095239
Defence Villa For Sale,36000000.0,3.0,4.0,11.0,3272727.272727273,DHA Phase 1,,"Defence Villas, DHA Phase 1",,34814932.65993268
Fully Furnished 3 Bed Apartment For Sale In The Galleria Apartments Bahria Enclave Islamabad,17500000.0,3.0,3.0,7.5,2333333.333333333,Bahria Enclave,,,,17663333.33333333
Cube Studio Apartment For Sale,6300000.0,,1.0,2.8,2250000.0,Cube Apartments,,,,7571098.333333333
Specious Brand New Villa Available In Sector G,35000000.0,5.0,6.0,8.0,4375000.0,Bahria Enclave,,,,32053258.65800865
A Designer Villa Is Available For A Confirm Offer Owner Build For Own Use A+ Construction Quality,110000000.0,6.0,6.0,20.0,5500000.0,Bahria Enclave,,,,100618389.36844648
50 Marla Farm House Plot For Sale At Murree Expressway Near Murree Toll Plaza,60000000.0,,1.0,50.0,1200000.0,,,,,164633333.33333334
Bahria Enclave Islamabad Sector N 5Marla Brand New House For Sale,24500000.0,3.0,4.0,5.0,4900000.0,Bahria Enclave,,,,23180000.093508553
Two (2) bed flat (appartment) available for sale in gulberg green Islamabad Pakistan,29000000.0,2.0,2.0,7.4,3918918.918918919,Gulberg Greens,,,,39920277.77777778
Two (2) Bed Flat (Apartment) Available For Sale In Gulberg Green Islamabad Pakistan,9000000.0,2.0,2.0,3.3,2727272.7272727275,Gulberg Greens,,,,9189276.746031744
One (1) Bed Flat (Apartment) Available For Sale In Gulberg Green Islamabad Pakistan,6200000.0,1.0,1.0,2.1,2952380.9523809524,Gulberg Greens,,,,6208861.375661377
Extra Land House Available For Sale Of Prime Location,220000000.0,7.0,6.0,26.0,8461538.461538462,F-10,,,F-10/2,231141111.11111113
Beautiful House Available For Sale In F10,300000000.0,7.0,6.0,40.0,7500000.0,,,,F-10,349800000.0
10 Marla Brand New Designer House For Sale In D H A Phase 2 Islamabad,65000000.0,5.0,6.0,10.0,6500000.0,DHA Defence Phase 2,,,,48623646.10892147
Centrally Located 2 Bed Room Flat Available In Bahria Enclave For Sale,15500000.0,2.0,2.0,5.6,2767857.142857143,Bahria Enclave,,,,15487916.666666666
Main Double Road House In E-11 For Sale,190000000.0,7.0,6.0,20.0,9500000.0,,,,E-11,184625074.07407406
10 Marla House With Basement For Sale In Bahria Enclave Islamabad,51000000.0,8.0,7.0,10.0,5100000.0,Bahria Enclave,,,,49160861.1111111
1 Kanal Luxury Brand New House Available For Sale,59000000.0,4.0,4.0,20.0,2950000.0,Naval Anchorage,"Block F, Naval Anchorage",,,62720925.925925925
F-11 House For Sale,180000000.0,6.0,6.0,20.0,9000000.0,,,,F-11,179767954.54545456
Brand New 3 Kanal House Is Up For Sale,275000000.0,11.0,7.0,60.0,4583333.333333333,Bahria Garden City,,,,312150000.0
"One Bed Apartment For Sale In LAMAR TOWER , Main Double Road E-11/2 Markaz , Islamabad",15900000.0,1.0,1.0,2.8,5678571.428571429,E-11,,,E-11/2,14656355.238095239
To Sale You Can Find Spacious House In PHAF Officers Residencia,41500000.0,5.0,4.0,8.0,5187500.0,PHAF Officers Residencia,,,,39171944.44444444
Luxury Full House Is Available For Sale In Islamabad,45000000.0,3.0,3.0,4.0,11250000.0,D-12,,,D-12/4,31765651.99713857
30*60 Single Storey House For Sale,19000000.0,2.0,3.0,7.0,2714285.714285714,Jinnah Gardens Phase 1,,,,20031077.777777776
F-11 Luxury Fully Furnished Renovated 3-Bed Apartment Available For Sale,56000000.0,3.0,4.0,12.2,4590163.934426229,F-11,,,F-11,57681666.666666664
10 Marla 2023 Construction House Is Available For Sale In Sector F DHA Phase 1 Islamabad,50000000.0,5.0,5.0,10.0,5000000.0,DHA Phase 1,,"Sector F, DHA Defence Phase 1",,50330835.25964777
2 Bedroom Apartment Available For Sale In Executive Heights F-11 Markaz Islamabad,31500000.0,2.0,2.0,6.2,5080645.161290322,,,,F-11,29641888.88888889
6 Marla Beautiful House available for Sale,29000000.0,4.0,6.0,6.0,4833333.333333333,Soan Garden,,,,26793076.984126978
Lop Area 2 Bed Apartment At Second Floor,4500000.0,2.0,2.0,2.9,1551724.1379310344,Jinnah Gardens Phase 1,,,,5627836.19047619
A Spacious 10 Marla House In G-13/3,82500000.0,6.0,6.0,10.0,8250000.0,G-13,,,G-13/3,72479916.66666667
1 Kanal Brand New House Is Available For Sale In Phase 3 DHA Islamabad,89000000.0,5.0,5.0,20.0,4450000.0,DHA Defence Phase 3,,,,107759646.38868466
F-8 brand new House for Sale.,650000000.0,7.0,6.0,36.0,18055555.55555556,,,,F-8,564800000.0
Three Bed Apartment For Sale Defence Residency Dha 2,15000000.0,3.0,3.0,7.3,2054794.5205479453,Defence Residency,,,,17250555.555555552
"Spacious 3-Bedroom Apartment for Sale Marghalla Facing | Askari Tower 1, DHA Phase 2, Islamabad",35000000.0,3.0,3.0,12.3,2845528.4552845526,Askari Tower 1,,,,34632222.222222224
5 Marla Brand New House For Sale In DHA Phase 5,33000000.0,3.0,3.0,5.0,6600000.0,DHA Phase 5,,"Sector F, DHA Defence Phase 5",,29729013.61606373
Two Bedroom Apartment For Sale In Defence Residency DHA Phase 2,8000000.0,2.0,2.0,3.6,2222222.222222222,Defence Residency,,,,7307985.858585857
1 BED CUBE APARTMENT FOR SALE,12000000.0,1.0,2.0,4.9,2448979.5918367347,Bahria Enclave,,,,14508166.666666666
British Designe 5 Marla House For Sale,25600000.0,3.0,4.0,5.0,5120000.0,Bahria Enclave,,,,23180000.093508553
OFFER- Dead End Corner 14 Marla House On Just 10% Down Payment,83500000.0,6.0,6.0,14.0,5964285.714285715,Bahria Enclave,,,,83557151.3824885
A Great Choice For A 10 Marla House Available In Bahria Enclave - Sector A,45500000.0,4.0,4.0,10.0,4550000.0,Bahria Enclave,,,,51036559.523809515
5 Marla Brand New House For Sale In Mumtaz City,23000000.0,4.0,6.0,5.0,4600000.0,Mumtaz City,"Chanab Block, Mumtaz City",,,24228591.26984127
"5 Marla Brand New House for Sale in Multi Gardens B-17 (MPCHS), Islamabad",28000000.0,5.0,5.0,5.0,5600000.0,MPCHS,,,B-17,27152271.164021168
Beautiful Prime Location Double Unit House For Sale In F Block Mpchs Multi Garden B-17 Islamabad,23900000.0,4.0,5.0,5.0,4780000.0,MPCHS,,,B-17,27624731.308043815
8 Marla Luxurious Corner House For Sale In Multi Garden B17 Islamabad,32000000.0,5.0,5.0,8.0,4000000.0,MPCHS,"Block E, MPCHS",,,37147345.23809524
"Prime 10 Marla Designer House For Sale In Multi Garden B-17, Islamabad MPCHS",47000000.0,6.0,6.0,10.0,4700000.0,MPCHS,,,B-17,46972937.01254883
1 Kanal Double Storey House For Sale,65000000.0,6.0,6.0,20.0,3250000.0,,,,O-9,76075587.30158728
F-8/1 House For Sale Sized 511 Square Yards,325000000.0,7.0,,20.0,16250000.0,F-8,,,F-8/1,269436944.4444444
1960 Square Feet Flat For Sale In Sukh Chayn Residence Islamabad In Only Rs. 85000000,85000000.0,3.0,3.0,8.7,9770114.942528736,F-10,,,F-10,83924591.26984128
1 -Kanal Used House Available In Soan Garden Block-E,58000000.0,8.0,7.0,20.0,2900000.0,Soan Garden,"Block E, Soan Garden",,,80436666.66666667
7 -Marla Double Story House Is Available In Soan Garden Block-H,23000000.0,4.0,4.0,7.0,3285714.285714286,Soan Garden,"Block H, Soan Garden",,,36577111.11111111
One Kanal Brand New House Is Available For In DHA Defence Phase 2,108000000.0,6.0,6.0,20.0,5400000.0,DHA Defence Phase 2,,,,100618389.36844648
Brand New House For Sale Block-D Gulshan-E-Sehat E-18 Islamabad,23500000.0,5.0,6.0,8.0,2937500.0,E-18,,,E-18,31591542.328042325
PHA Apartment C Type For Sale in Sector I-11/1 Islamabad,9000000.0,2.0,2.0,4.6,1956521.739130435,I-11,,,I-11/1,10358800.0
3 Bedroom Apartment For Sale In Askari Tower 4 Dha 5,26000000.0,3.0,4.0,11.0,2363636.363636364,Askari Tower 4,,,,34814932.65993268
2kanal Gray structure for sale in sector C,160000000.0,9.0,6.0,40.0,4000000.0,Bahria Enclave,,,,183283333.33333334
"4 Marla Double-Story House for Sale | Scenic Views | Aryan Enclave, Bani Gala",14500000.0,5.0,5.0,4.0,3625000.0,Bani Gala,,,,14651519.179894181
Conventional Style : 1 kanal Brand New House Ready For Sale In DHA DEFENCE PHASE 2,115000000.0,6.0,6.0,20.0,5750000.0,DHA Defence Phase 2,,,,100618389.36844648
Exclusive Address 1 Kanal Aesthetically Build Designer House Ready For Sale In DHA DEFENCE PHASE 2,119000000.0,5.0,6.0,20.0,5950000.0,DHA Defence Phase 2,,,,124485438.65586878
7 Marla Brand New Double Storey House For Sale,34000000.0,5.0,6.0,7.0,4857142.857142857,Jinnah Gardens Phase 1,,,,31979879.148629155
Brand New Spanish Design House For Sale,55000000.0,6.0,7.0,14.0,3928571.4285714286,Jinnah Gardens Phase 1,,,,67347611.11111106
"Beautiful 9 Marla Pillar Style House For Sale in I-10/4, Islamabad",64000000.0,5.0,5.0,9.0,7111111.111111111,I-10,,,I-10/4,64842222.222222224
NORA Residences 2 Bedroom Flat For Sale | 1040 Sq Feet.,10500000.0,2.0,2.0,4.6,2282608.6956521743,DHA Phase 3,"Block E, DHA Defence Phase 3",,,10050314.444444446
Avail Yourself A Great On Excellent Location 10 Marla House In D-12,118000000.0,6.0,6.0,10.0,11800000.0,,,,D-12,99672888.8888889
A Spacious On Excellent Location 14 Marla House In D-12,150000000.0,7.0,6.0,14.0,10714285.714285716,,,,D-12,142837976.1904762
On Excellent Location 14 Marla House For sale Available In D-12,135000000.0,7.0,6.0,14.0,9642857.142857144,,,,D-12,142837976.1904762
On Excellent Location House Available For sale In D-12,285000000.0,8.0,6.0,20.0,14250000.0,,,,D-12,251210000.0
Beautiful View Corner Double Floor Apartment For Sale At Very Reasonable Price In Centaurus Islamabad.,185000000.0,4.0,4.0,20.0,9250000.0,F-8,,,F-8,187391984.1269841
F9 Park Facing 3 Bedrooms Apartment On Investor Rate Available For Sale In Sukh Chyn F10.,84500000.0,3.0,3.0,8.7,9712643.67816092,F-10,,,F-10,83924591.26984128
Brand New Double Storey Spanish House For Sale In Bani Gala Near To Market Durrani Street,29000000.0,4.0,6.0,7.0,4142857.142857143,Bani Gala,,,,29469533.068783075
2 Bed 900 Sq/Ft Flat Available For Sale In Capital Residencia E11 Main Margalla Road,14500000.0,2.0,2.0,4.0,3625000.0,Capital Residencia,,,,10760800.0
F-10 Silver Oaks Apartment,65000000.0,3.0,3.0,7.8,8333333.333333334,F-10,,,F-10,30695083.333333332
Luxury 2 Bed Apartment Is Available For Sale In Rs. 17000000,17000000.0,2.0,3.0,6.2,2741935.483870968,E-11,,,E-11,18088092.592592593
Book Flat Today In Defence Residency,11500000.0,2.0,2.0,5.1,2254901.9607843137,Defence Residency,,,,11342765.452140454
35/70 House for sale G13/1 islamabad,72500000.0,6.0,6.0,10.0,7250000.0,G-13,,,G-13/1,67567638.88888888
Good Location Brand New House For Sale In Mumtaz City Islamabad,23000000.0,5.0,6.0,5.0,4600000.0,Mumtaz City,,,,24068506.613756612
"LUXURY VILLA FOR SALE IN  AIRPORT ENCLAVE  , (INSTALLMENTS ALSO POSSIBLE)",22000000.0,3.0,4.0,5.0,4400000.0,Airport Enclave,,,,23180000.093508553
2 Bed Apartment For Sale,6300000.0,2.0,2.0,2.7,2333333.333333333,,,,G-15,6550735.555555555
2 Bed Apartment For Sale,11500000.0,2.0,2.0,7.3,1575342.465753425,G-15,,,G-15/4,22341015.873015873
PARKVIEW LUXURY | 1-BED APARTMENT | PARKVIEW CITY DOWNTOWN BLOCK (INSTALLMENT AVAILABLE),14600000.0,1.0,1.0,2.7,5407407.407407407,Park View City,"Downtown Block, Park View City",,,16038200.0
2 Bedroom Flat For Sale In Lignum Tower,15000000.0,2.0,2.0,6.3,2380952.380952381,Lignum Tower,,,,15886166.666666666
2 Bedroom Apartment For Sale In Defence Executive,17000000.0,2.0,2.0,6.8,2500000.0,Defence Executive Apartments,,,,46663977.777777776
Beautiful Owner Build House for Sale,35000000.0,5.0,6.0,7.0,5000000.0,Tarlai,,,,31979879.148629155
Pre-Owned 1 Kanal Double Gate Corner House Available For Sale In DHA DEFENCE PHASE 2,87000000.0,6.0,6.0,20.0,4350000.0,DHA Defence Phase 2,,,,100618389.36844648
Gulberg Residencia Islamabad 7M Brand New Double Unit House Available for Sale,35000000.0,3.0,3.0,7.0,5000000.0,Gulberg Residencia,"Block L, Gulberg Residencia",,,27378194.444444448
Gulberg Residencia Block J 01 kanal Brand New Double Unit House Available for Sale,130000000.0,5.0,6.0,20.0,6500000.0,Gulberg Residencia,"Block J, Gulberg Residencia",,,110095493.30384433
Gulberg Residencia Islamabad 7m Brand New Double Unit House Available For Sale,35000000.0,4.0,4.0,7.0,5000000.0,Gulberg Residencia,"Block L, Gulberg Residencia",,,36290722.22222222
BEAUTIFUL LOCATION BRAND NEW HOUSE FOR SALE,53500000.0,4.0,4.0,5.0,10700000.0,,,,D-12,47397222.222222224
BEAUTIFUL LOCATION CORNER HOUSE FOR SALE,45000000.0,3.0,3.0,4.0,11250000.0,D-12,,,D-12/3,43160416.666666664
BEAUTIFUL LOCATION END CORNER HOUSE FOR SALE,45000000.0,3.0,3.0,4.0,11250000.0,D-12,,,D-12/3,43160416.666666664
10 Marla Brand New Sun-face House For Sale In Topcity-1 Islamabad,44000000.0,5.0,7.0,10.0,4400000.0,Top City 1,"Block A, Top City 1",,,43833568.12169311
10 Marla Brand New House For Sale In Topcity-1,35000000.0,4.0,5.0,10.0,3500000.0,Top City 1,"Block D, Top City 1",,,40589982.14285714
One Bedroom Apartment For Sale,5200000.0,1.0,1.0,2.9,1793103.448275862,E-11,,,E-11/4,7124387.5
Multi gardens B17 A Block 1 Kanal House is available for sale,90000000.0,6.0,7.0,20.0,4500000.0,MPCHS,"Block A, MPCHS",,,88274583.33333333
Luxurious Duplex Corner Most Specious Of Contours Apartment Available,190000000.0,4.0,5.0,20.0,9500000.0,F-8,,,F-8,197678095.2380952
"5 MARLA LUXURY HOUSE FOR SALE IN B-17, ISLAMABAD",24000000.0,4.0,5.0,5.0,4800000.0,MPCHS,"Block F, MPCHS",,,27624731.308043815
Modern 2-Bed Apartment At Cube Apartments Bahria Enclave - Your Ultimate Haven With Luxe Amenities,16000000.0,2.0,2.0,6.9,2318840.579710145,Cube Apartments,,,,26518755.555555556
Sector G 8 Marla Double Unit house for sale in Bahria enclave lslamabad,33000000.0,5.0,6.0,8.0,4125000.0,Bahria Enclave,,,,32053258.65800865
Brand New Designer House for Sale Sector C-1 5 bedroom with attach bath Extreme Top Location Bahria Enclave Islamabad,47500000.0,5.0,6.0,10.0,4750000.0,Bahria Enclave,,,,48623646.10892147
